roomNumber,bin,room_entry_sequence,user_id,prev_people,expected_people,curr_people,lost_update_diff
1181,1,1,yhjj831,1,2,2,0
1181,1,2,yhjj824,2,3,3,0
1181,1,3,yhjj856,3,4,4,0
1181,1,4,yhjj819,4,5,5,0
1181,1,5,yhjj820,5,6,6,0
1181,1,6,yhjj887,6,7,7,0
1181,1,7,yhjj875,7,8,8,0
1181,1,8,yhjj878,8,9,9,0
1181,1,9,yhjj879,9,10,10,0
1181,1,10,yhjj829,10,11,11,0
1181,1,11,yhjj993,11,12,12,0
1181,1,12,yhjj832,12,13,13,0
1181,1,13,yhjj864,13,14,14,0
1181,1,14,yhjj854,14,15,15,0
1181,1,15,yhjj846,15,16,16,0
1181,1,16,yhjj874,16,17,17,0
1181,1,17,yhjj996,17,18,18,0
1181,1,18,yhjj869,18,19,19,0
1181,1,19,yhjj880,19,20,20,0
1181,1,20,yhjj976,20,21,21,0
1181,2,21,yhjj821,21,22,22,0
1181,2,22,yhjj900,22,23,23,0
1181,2,23,yhjj845,23,24,24,0
1181,2,24,yhjj838,24,25,25,0
1181,2,25,yhjj1009,25,26,26,0
1181,2,26,yhjj833,26,27,27,0
1181,2,27,yhjj826,27,28,28,0
1181,2,28,yhjj822,28,29,29,0
1181,2,29,yhjj1008,29,30,30,0
1181,2,30,yhjj1011,30,31,31,0
1181,2,31,yhjj859,31,32,32,0
1181,2,32,yhjj825,32,33,33,0
1181,2,33,yhjj932,33,34,34,0
1181,2,34,yhjj901,34,35,35,0
1181,2,35,yhjj860,35,36,36,0
1181,2,36,yhjj861,36,37,37,0
1181,2,37,yhjj921,37,38,38,0
1181,2,38,yhjj915,38,39,39,0
1181,2,39,yhjj823,39,40,40,0
1181,2,40,yhjj890,40,41,41,0
1181,3,41,yhjj934,41,42,42,0
1181,3,42,yhjj830,42,43,43,0
1181,3,43,yhjj1016,43,44,44,0
1181,3,44,yhjj892,44,45,45,0
1181,3,45,yhjj862,45,46,46,0
1181,3,46,yhjj906,46,47,47,0
1181,3,47,yhjj844,47,48,48,0
1181,3,48,yhjj941,48,49,49,0
1181,3,49,yhjj849,49,50,50,0
1181,3,50,yhjj918,50,51,51,0
1181,3,51,yhjj841,51,52,52,0
1181,3,52,yhjj847,52,53,53,0
1181,3,53,yhjj902,53,54,54,0
1181,3,54,yhjj928,54,55,55,0
1181,3,55,yhjj852,55,56,56,0
1181,3,56,yhjj873,56,57,57,0
1181,3,57,yhjj842,57,58,58,0
1181,3,58,yhjj848,58,59,59,0
1181,3,59,yhjj885,59,60,60,0
1181,3,60,yhjj840,60,61,61,0
1181,4,61,yhjj926,61,62,62,0
1181,4,62,yhjj837,62,63,63,0
1181,4,63,yhjj889,63,64,64,0
1181,4,64,yhjj858,64,65,65,0
1181,4,65,yhjj827,65,66,66,0
1181,4,66,yhjj877,66,67,67,0
1181,4,67,yhjj876,67,68,68,0
1181,4,68,yhjj835,68,69,69,0
1181,4,69,yhjj872,69,70,70,0
1181,4,70,yhjj994,70,71,71,0
1181,4,71,yhjj857,71,72,72,0
1181,4,72,yhjj895,72,73,73,0
1181,4,73,yhjj1005,73,74,74,0
1181,4,74,yhjj982,74,75,75,0
1181,4,75,yhjj828,75,76,76,0
1181,4,76,yhjj923,76,77,77,0
1181,4,77,yhjj912,77,78,78,0
1181,4,78,yhjj866,78,79,79,0
1181,4,79,yhjj834,79,80,80,0
1181,4,80,yhjj868,80,81,81,0
1181,5,81,yhjj922,81,82,82,0
1181,5,82,yhjj904,82,83,83,0
1181,5,83,yhjj853,83,84,84,0
1181,5,84,yhjj870,84,85,85,0
1181,5,85,yhjj919,85,86,86,0
1181,5,86,yhjj855,86,87,87,0
1181,5,87,yhjj888,87,88,88,0
