roomNumber,bin,room_entry_sequence,user_id,prev_entry_time,curr_entry_time,curr_people,max_people
1176,6,103,yhjj920,2025-07-12 06:16:33.968497+00:00,2025-07-12 06:16:33.968497+00:00,101,100
1176,6,102,yhjj961,2025-07-12 06:16:33.968497+00:00,2025-07-12 06:16:33.968497+00:00,101,100
1176,5,97,yhjj975,2025-07-12 06:16:33.965673+00:00,2025-07-12 06:16:33.968497+00:00,101,100
1176,6,101,yhjj912,2025-07-12 06:16:33.968497+00:00,2025-07-12 06:16:33.968497+00:00,101,100
1176,6,104,yhjj836,2025-07-12 06:16:33.971199+00:00,2025-07-12 06:16:33.971199+00:00,101,100
1176,6,105,yhjj901,2025-07-12 06:16:33.971199+00:00,2025-07-12 06:16:33.971199+00:00,101,100
1176,6,106,yhjj874,2025-07-12 06:16:33.971199+00:00,2025-07-12 06:16:33.971199+00:00,101,100
1176,6,107,yhjj999,2025-07-12 06:16:33.971199+00:00,2025-07-12 06:16:33.971199+00:00,101,100
1176,6,108,yhjj951,2025-07-12 06:16:33.971199+00:00,2025-07-12 06:16:33.971199+00:00,101,100
1176,6,109,yhjj1003,2025-07-12 06:16:33.971199+00:00,2025-07-12 06:16:33.971199+00:00,101,100
1176,6,110,yhjj919,2025-07-12 06:16:33.971199+00:00,2025-07-12 06:16:33.971199+00:00,101,100
1176,6,111,yhjj869,2025-07-12 06:16:33.973455+00:00,2025-07-12 06:16:33.973455+00:00,101,100
1176,6,112,yhjj1014,2025-07-12 06:16:33.973455+00:00,2025-07-12 06:16:33.973455+00:00,101,100
1176,6,114,yhjj1013,2025-07-12 06:16:33.973884+00:00,2025-07-12 06:16:33.973884+00:00,101,100
1176,6,115,yhjj867,2025-07-12 06:16:33.973884+00:00,2025-07-12 06:16:33.973884+00:00,101,100
1176,6,113,yhjj940,2025-07-12 06:16:33.973884+00:00,2025-07-12 06:16:33.974803+00:00,101,100
1176,6,116,yhjj889,2025-07-12 06:16:33.974803+00:00,2025-07-12 06:16:33.974803+00:00,101,100
1176,6,118,yhjj1006,2025-07-12 06:16:33.975337+00:00,2025-07-12 06:16:33.975337+00:00,101,100
1176,6,117,yhjj925,2025-07-12 06:16:33.975337+00:00,2025-07-12 06:16:33.975337+00:00,101,100
1176,6,119,yhjj888,2025-07-12 06:16:33.976244+00:00,2025-07-12 06:16:33.976244+00:00,101,100
1176,7,124,yhjj926,2025-07-12 06:16:33.977424+00:00,2025-07-12 06:16:33.977424+00:00,101,100
1176,6,120,yhjj929,2025-07-12 06:16:33.977424+00:00,2025-07-12 06:16:33.977424+00:00,101,100
1176,7,121,yhjj938,2025-07-12 06:16:33.977424+00:00,2025-07-12 06:16:33.977424+00:00,101,100
1176,7,123,yhjj1004,2025-07-12 06:16:33.977424+00:00,2025-07-12 06:16:33.977424+00:00,101,100
1176,7,125,yhjj1009,2025-07-12 06:16:33.977424+00:00,2025-07-12 06:16:33.977424+00:00,101,100
1176,7,122,yhjj884,2025-07-12 06:16:33.977424+00:00,2025-07-12 06:16:33.979491+00:00,101,100
1176,7,130,yhjj870,2025-07-12 06:16:33.979893+00:00,2025-07-12 06:16:33.979893+00:00,101,100
1176,7,129,yhjj918,2025-07-12 06:16:33.979893+00:00,2025-07-12 06:16:33.979893+00:00,101,100
1176,7,131,yhjj895,2025-07-12 06:16:33.979893+00:00,2025-07-12 06:16:33.979893+00:00,101,100
1176,7,127,yhjj969,2025-07-12 06:16:33.979893+00:00,2025-07-12 06:16:33.979893+00:00,101,100
