roomNumber,bin,room_entry_sequence,sorted_sequence_position,user_id,true_critical_section_start,true_critical_section_end,prev_people,expected_curr_by_sequence,actual_curr_people,curr_sequence_diff
1175,3,56,56.0,yhjj951,,,55,57.0,56.0,-1.0
1175,4,63,63.0,yhjj848,,,63,64.0,65.0,1.0
1175,4,64,64.0,yhjj851,,,63,65.0,64.0,-1.0
1175,4,67,67.0,yhjj956,,,67,68.0,69.0,1.0
1175,4,68,68.0,yhjj894,,,67,69.0,68.0,-1.0
1175,4,75,75.0,yhjj863,,,75,76.0,78.0,2.0
1175,4,76,76.0,yhjj923,,,75,77.0,76.0,-1.0
1175,4,77,77.0,yhjj1012,,,76,78.0,77.0,-1.0
1175,5,84,84.0,yhjj977,,,84,85.0,86.0,1.0
1175,5,85,85.0,yhjj902,,,84,86.0,85.0,-1.0
1176,3,44,44.0,yhjj852,,,44,45.0,46.0,1.0
1176,3,45,45.0,yhjj982,,,44,46.0,45.0,-1.0
1176,3,49,49.0,yhjj863,,,49,50.0,51.0,1.0
1176,3,50,50.0,yhjj958,,,49,51.0,50.0,-1.0
1176,3,53,53.0,yhjj934,,,53,54.0,55.0,1.0
1176,3,54,54.0,yhjj905,,,53,55.0,54.0,-1.0
1176,3,57,57.0,yhjj970,,,58,58.0,59.0,1.0
1176,3,58,58.0,yhjj904,,,59,59.0,60.0,1.0
1176,3,59,59.0,yhjj977,,,57,60.0,58.0,-2.0
1176,4,65,65.0,yhjj980,,,65,66.0,67.0,1.0
1176,4,66,66.0,yhjj922,,,65,67.0,68.0,1.0
1176,4,67,67.0,yhjj880,,,65,68.0,66.0,-2.0
1176,5,81,81.0,yhjj983,,,82,82.0,83.0,1.0
1176,5,82,82.0,yhjj910,,,81,83.0,84.0,1.0
1176,5,83,83.0,yhjj913,,,81,84.0,82.0,-2.0
1176,5,90,90.0,yhjj945,,,91,91.0,92.0,1.0
1176,5,91,91.0,yhjj843,,,90,92.0,91.0,-1.0
1176,5,92,92.0,yhjj872,,,94,93.0,95.0,2.0
1176,5,93,93.0,yhjj964,,,95,94.0,96.0,2.0
1176,5,94,94.0,yhjj821,,,92,95.0,93.0,-2.0
1176,5,95,95.0,yhjj947,,,93,96.0,94.0,-2.0
1176,5,96,96.0,yhjj916,,,94,97.0,98.0,1.0
1176,5,97,97.0,yhjj975,,,99,98.0,101.0,3.0
1176,5,98,98.0,yhjj946,,,96,99.0,97.0,-2.0
1176,5,100,100.0,yhjj976,,,97,101.0,99.0,-2.0
1177,3,52,52.0,yhjj830,,,52,53.0,54.0,1.0
1177,3,53,53.0,yhjj881,,,52,54.0,53.0,-1.0
1177,4,69,69.0,yhjj883,,,69,70.0,71.0,1.0
1177,4,70,70.0,yhjj878,,,69,71.0,70.0,-1.0
1177,4,76,76.0,yhjj847,,,75,77.0,78.0,1.0
1177,4,77,77.0,yhjj889,,,75,78.0,77.0,-1.0
1177,5,85,85.0,yhjj853,,,84,86.0,87.0,1.0
1177,5,86,86.0,yhjj999,,,84,87.0,86.0,-1.0
1177,5,89,89.0,yhjj1009,,,89,90.0,91.0,1.0
1177,5,90,90.0,yhjj844,,,89,91.0,90.0,-1.0
1177,5,92,92.0,yhjj925,,,92,93.0,94.0,1.0
1177,5,93,93.0,yhjj986,,,92,94.0,93.0,-1.0
1177,5,96,96.0,yhjj870,,,96,97.0,98.0,1.0
1177,5,97,97.0,yhjj941,,,96,98.0,97.0,-1.0
1178,3,54,54.0,yhjj948,,,56,55.0,57.0,2.0
1178,3,55,55.0,yhjj928,,,54,56.0,55.0,-1.0
1178,3,56,56.0,yhjj872,,,55,57.0,56.0,-1.0
1178,4,64,64.0,yhjj882,,,65,65.0,66.0,1.0
1178,4,65,65.0,yhjj867,,,64,66.0,65.0,-1.0
1178,4,67,67.0,yhjj918,,,67,68.0,69.0,1.0
1178,4,68,68.0,yhjj990,,,67,69.0,68.0,-1.0
1178,4,71,71.0,yhjj1017,,,71,72.0,73.0,1.0
1178,4,72,72.0,yhjj925,,,71,73.0,72.0,-1.0
1178,4,74,74.0,yhjj987,,,74,75.0,76.0,1.0
1178,4,75,75.0,yhjj937,,,74,76.0,75.0,-1.0
1178,4,79,79.0,yhjj930,,,79,80.0,82.0,2.0
1178,4,80,80.0,yhjj964,,,79,81.0,80.0,-1.0
1178,5,81,81.0,yhjj1002,,,80,82.0,81.0,-1.0
1178,5,85,85.0,yhjj902,,,84,86.0,87.0,1.0
1178,5,86,86.0,yhjj875,,,84,87.0,88.0,1.0
1178,5,87,87.0,yhjj850,,,85,88.0,86.0,-2.0
1178,5,89,89.0,yhjj834,,,89,90.0,93.0,3.0
1178,5,90,90.0,yhjj870,,,90,91.0,92.0,1.0
1178,5,91,91.0,yhjj868,,,89,92.0,91.0,-1.0
1178,5,92,92.0,yhjj995,,,89,93.0,90.0,-3.0
1178,5,94,94.0,yhjj934,,,94,95.0,96.0,1.0
1178,5,95,95.0,yhjj916,,,94,96.0,95.0,-1.0
1179,1,12,12.0,yhjj828,,,13,13.0,14.0,1.0
1179,1,13,13.0,yhjj839,,,12,14.0,13.0,-1.0
1179,2,26,26.0,yhjj925,,,26,27.0,28.0,1.0
1179,2,27,27.0,yhjj856,,,26,28.0,27.0,-1.0
1179,3,43,43.0,yhjj934,,,43,44.0,45.0,1.0
1179,3,44,44.0,yhjj916,,,43,45.0,44.0,-1.0
1179,3,45,45.0,yhjj862,,,45,46.0,47.0,1.0
1179,3,46,46.0,yhjj992,,,45,47.0,46.0,-1.0
1179,4,67,67.0,yhjj871,,,67,68.0,69.0,1.0
1179,4,68,68.0,yhjj909,,,67,69.0,68.0,-1.0
1179,4,75,75.0,yhjj1017,,,77,76.0,78.0,2.0
1179,4,76,76.0,yhjj845,,,75,77.0,76.0,-1.0
1179,4,77,77.0,yhjj1012,,,75,78.0,77.0,-1.0
1179,5,88,88.0,yhjj921,,,90,89.0,91.0,2.0
1179,5,89,89.0,yhjj863,,,88,90.0,89.0,-1.0
1179,5,90,90.0,yhjj982,,,88,91.0,90.0,-1.0
1179,5,91,91.0,yhjj888,,,90,92.0,94.0,2.0
1179,5,92,92.0,yhjj973,,,91,93.0,92.0,-1.0
1179,5,93,93.0,yhjj993,,,92,94.0,93.0,-1.0
