roomNumber,bin,user_id,contention_group_size,contention_user_ids,true_critical_section_nanoTime_start,true_critical_section_nanoTime_end,true_critical_section_duration_nanos
1181,5,yhjj843,1,yhjj843,26920695583400,26920695624900,41500
1181,5,yhjj850,1,yhjj850,26920701309800,26920701360100,50300
1181,5,yhjj963,1,yhjj963,26920713046100,26920713123600,77500
1181,5,yhjj913,1,yhjj913,26920717109400,26920717165400,56000
1181,5,yhjj910,1,yhjj910,26920717337900,26920717423600,85700
1181,5,yhjj916,1,yhjj916,26920717676300,26920717738500,62200
1181,5,yhjj1003,1,yhjj1003,26920719637500,26920719692800,55300
1181,5,yhjj883,1,yhjj883,26920719772800,26920719810900,38100
1181,5,yhjj908,1,yhjj908,26920727432000,26920727452100,20100
1181,6,yhjj839,1,yhjj839,26920728249400,26920728270400,21000
1181,6,yhjj961,1,yhjj961,26920731985700,26920732009600,23900
1181,6,yhjj942,1,yhjj942,26920732192800,26920732226600,33800
1181,6,yhjj925,1,yhjj925,26920732588500,26920732606400,17900
1181,6,yhjj970,1,yhjj970,26920733358400,26920733377900,19500
1181,6,yhjj945,1,yhjj945,26920736073200,26920736126700,53500
1181,6,yhjj953,1,yhjj953,26920739347800,26920739370000,22200
1181,6,yhjj946,1,yhjj946,26920739891000,26920739909400,18400
1181,6,yhjj1007,1,yhjj1007,26920741264000,26920741287600,23600
1181,6,yhjj959,1,yhjj959,26920750352700,26920750390000,37300
1181,6,yhjj917,1,yhjj917,26920753193200,26920753218200,25000
1181,6,yhjj944,1,yhjj944,26920758203100,26920758226500,23400
1181,6,yhjj1013,1,yhjj1013,26920758866300,26920758886500,20200
1181,6,yhjj998,1,yhjj998,26920760284900,26920760307300,22400
1181,6,yhjj930,1,yhjj930,26920760575900,26920760612600,36700
1181,6,yhjj964,1,yhjj964,26920761832000,26920761853900,21900
1181,6,yhjj933,1,yhjj933,26920767225100,26920767247300,22200
1181,6,yhjj992,1,yhjj992,26920767826000,26920767847700,21700
1181,6,yhjj956,1,yhjj956,26920767930700,26920767955000,24300
1181,6,yhjj1004,1,yhjj1004,26920768525100,26920768544800,19700
1181,7,yhjj962,1,yhjj962,26920768930600,26920768957400,26800
1181,7,yhjj935,1,yhjj935,26920770473500,26920770492900,19400
1181,7,yhjj894,1,yhjj894,26920770683700,26920770710900,27200
1181,7,yhjj927,1,yhjj927,26920772168400,26920772244700,76300
1181,7,yhjj920,1,yhjj920,26920773601400,26920773622000,20600
1181,7,yhjj960,1,yhjj960,26920774980700,26920775021700,41000
1181,7,yhjj984,1,yhjj984,26920777528200,26920777548000,19800
1181,7,yhjj977,1,yhjj977,26920778009200,26920778029400,20200
1181,7,yhjj865,1,yhjj865,26920778361700,26920778379400,17700
1181,7,yhjj907,1,yhjj907,26920780919900,26920780939200,19300
1181,7,yhjj987,1,yhjj987,26920781123100,26920781142400,19300
1181,7,yhjj871,1,yhjj871,26920782146600,26920782178200,31600
1181,7,yhjj995,1,yhjj995,26920782369400,26920782404100,34700
1181,7,yhjj938,1,yhjj938,26920783638700,26920783660100,21400
1181,7,yhjj975,1,yhjj975,26920784581700,26920784637800,56100
1181,7,yhjj988,1,yhjj988,26920785864600,26920785884300,19700
1181,7,yhjj939,1,yhjj939,26920785965000,26920786001600,36600
1181,7,yhjj943,1,yhjj943,26920786044700,26920786082500,37800
1181,7,yhjj909,1,yhjj909,26920787182000,26920787205500,23500
1181,7,yhjj980,1,yhjj980,26920787360900,26920787381600,20700
1181,8,yhjj999,1,yhjj999,26920789257600,26920789278700,21100
1181,8,yhjj924,1,yhjj924,26920789647500,26920789667000,19500
1181,8,yhjj851,1,yhjj851,26920790550500,26920790569600,19100
1181,8,yhjj1006,1,yhjj1006,26920793587900,26920793609300,21400
1181,8,yhjj957,1,yhjj957,26920793875200,26920793893000,17800
1181,8,yhjj973,1,yhjj973,26920794830700,26920794949600,118900
1181,8,yhjj969,1,yhjj969,26920795330500,26920795450400,119900
1181,8,yhjj985,1,yhjj985,26920801140300,26920801165700,25400
1181,8,yhjj897,1,yhjj897,26920801466800,26920801487600,20800
1181,8,yhjj898,1,yhjj898,26920801983500,26920802001100,17600
1181,8,yhjj978,1,yhjj978,26920802454000,26920802473000,19000
1181,8,yhjj958,1,yhjj958,26920804345200,26920804448100,102900
1181,8,yhjj991,1,yhjj991,26920804626500,26920804646600,20100
1181,8,yhjj968,1,yhjj968,26920804999600,26920805025700,26100
1181,8,yhjj1015,1,yhjj1015,26920806298200,26920806318100,19900
1181,8,yhjj949,1,yhjj949,26920808096200,26920808117100,20900
1181,8,yhjj979,1,yhjj979,26920808677500,26920808701800,24300
1181,8,yhjj914,1,yhjj914,26920808789700,26920808824600,34900
1181,8,yhjj986,1,yhjj986,26920812120400,26920812140700,20300
1181,8,yhjj974,1,yhjj974,26920812311300,26920812383100,71800
1181,9,yhjj981,1,yhjj981,26920812564400,26920812653600,89200
1181,9,yhjj971,1,yhjj971,26920814060100,26920814181200,121100
1181,9,yhjj896,1,yhjj896,26920822936200,26920822960200,24000
1181,9,yhjj965,1,yhjj965,26920826746700,26920826773300,26600
1181,9,yhjj931,1,yhjj931,26920829993200,26920830016500,23300
1181,9,yhjj990,1,yhjj990,26920831616500,26920831637700,21200
1181,9,yhjj1012,1,yhjj1012,26920832495800,26920832598300,102500
1181,9,yhjj882,1,yhjj882,26920832670100,26920832708600,38500
1181,9,yhjj863,1,yhjj863,26920832770500,26920832805800,35300
1181,9,yhjj911,1,yhjj911,26920832965800,26920833002700,36900
1181,9,yhjj1001,1,yhjj1001,26920833629600,26920833665400,35800
1181,9,yhjj1010,1,yhjj1010,26920833799400,26920833818300,18900
1181,9,yhjj884,1,yhjj884,26920838157900,26920838180100,22200
1181,9,yhjj891,1,yhjj891,26920840128200,26920840149700,21500
1181,9,yhjj937,1,yhjj937,26920841770900,26920841795600,24700
1181,9,yhjj948,1,yhjj948,26920843604000,26920843629000,25000
1181,9,yhjj997,1,yhjj997,26920844197000,26920844220300,23300
1181,9,yhjj950,1,yhjj950,26920844293000,26920844314300,21300
1181,9,yhjj1014,1,yhjj1014,26920846407900,26920846431700,23800
1181,9,yhjj952,1,yhjj952,26920846597000,26920846617200,20200
1181,10,yhjj929,1,yhjj929,26920849737400,26920849773300,35900
1181,10,yhjj983,1,yhjj983,26920849869900,26920849958200,88300
1181,10,yhjj951,1,yhjj951,26920850110500,26920850184000,73500
1181,10,yhjj867,1,yhjj867,26920850752600,26920850812100,59500
1181,10,yhjj1018,1,yhjj1018,26920850970700,26920851026700,56000
1181,10,yhjj954,1,yhjj954,26920851404000,26920851428900,24900
1181,10,yhjj936,1,yhjj936,26920851574000,26920851613700,39700
1181,10,yhjj899,1,yhjj899,26920851666400,26920851712700,46300
1181,10,yhjj966,1,yhjj966,26920852380200,26920852500100,119900
1181,10,yhjj972,1,yhjj972,26920852608500,26920852649300,40800
1181,10,yhjj947,1,yhjj947,26920852755200,26920852804800,49600
1181,10,yhjj967,1,yhjj967,26920852865800,26920852900900,35100
1181,10,yhjj893,1,yhjj893,26920853204600,26920853357900,153300
1181,10,yhjj836,1,yhjj836,26920853429000,26920853473000,44000
1181,10,yhjj989,1,yhjj989,26920853535500,26920853581600,46100
1181,10,yhjj905,1,yhjj905,26920853786900,26920853824500,37600
1181,10,yhjj940,1,yhjj940,26920854043000,26920854113600,70600
1181,10,yhjj1000,1,yhjj1000,26920854174400,26920854224200,49800
1181,10,yhjj1002,1,yhjj1002,26920854349400,26920854383600,34200
1181,10,yhjj1017,1,yhjj1017,26920854637300,26920854685200,47900
