roomNumber,bin,room_entry_sequence,user_id,prev_people,curr_people,max_people,join_result,true_critical_section_nanoTime_start,true_critical_section_nanoTime_end,contention_group_size,contention_user_ids
1301,3,60,yhjj864,60,61,100,SUCCESS,876872431800,876872495800,1,yhjj864
1301,4,61,yhjj1003,61,62,100,SUCCESS,876872907800,876873075400,1,yhjj1003
1301,4,62,yhjj855,62,63,100,SUCCESS,876875649900,876875712100,1,yhjj855
1301,4,63,yhjj915,63,64,100,SUCCESS,876875916800,876875964300,1,yhjj915
1301,4,64,yhjj862,64,67,100,SUCCESS,876877006200,876878525200,2,"yhjj823, yhjj862"
1301,4,65,yhjj928,64,65,100,SUCCESS,876877167500,876877230200,2,"yhjj928, yhjj862"
1301,4,66,yhjj823,65,66,100,SUCCESS,876877944500,876878006100,2,"yhjj823, yhjj862"
1301,4,67,yhjj841,67,68,100,SUCCESS,876880362100,876880432500,1,yhjj841
1301,4,68,yhjj909,68,69,100,SUCCESS,876880754700,876880922200,3,"yhjj894, yhjj909, yhjj962"
1301,4,69,yhjj962,68,71,100,SUCCESS,876880809200,876881171900,2,"yhjj892, yhjj962"
1301,4,70,yhjj894,69,70,100,SUCCESS,876880878400,876881006900,3,"yhjj894, yhjj909, yhjj962"
1301,4,71,yhjj892,70,72,100,SUCCESS,876881137700,876881198700,2,"yhjj892, yhjj962"
1301,4,72,yhjj907,72,73,100,SUCCESS,876883062700,876883220800,1,yhjj907
1301,4,73,yhjj885,73,75,100,SUCCESS,876885548300,876886056000,2,"yhjj979, yhjj885"
1301,4,74,yhjj979,73,74,100,SUCCESS,876885807500,876885854100,2,"yhjj979, yhjj885"
1301,4,75,yhjj955,75,76,100,SUCCESS,876886432700,876886483600,1,yhjj955
1301,4,76,yhjj849,76,77,100,SUCCESS,876888733000,876888874300,1,yhjj849
1301,4,77,yhjj992,77,78,100,SUCCESS,876889418600,876889478800,1,yhjj992
1301,4,78,yhjj978,78,79,100,SUCCESS,876890145300,876890372900,3,"yhjj884, yhjj978, yhjj844"
1301,4,79,yhjj884,78,81,100,SUCCESS,876890307300,876890686000,2,"yhjj844, yhjj884"
1301,4,80,yhjj844,79,80,100,SUCCESS,876890538600,876890589500,2,"yhjj844, yhjj884"
1301,5,81,yhjj929,81,82,100,SUCCESS,876895726300,876895780200,1,yhjj929
1301,5,82,yhjj917,82,83,100,SUCCESS,876895914600,876895973100,1,yhjj917
1301,5,83,yhjj946,83,84,100,SUCCESS,876896739300,876896846500,1,yhjj946
1301,5,84,yhjj851,84,85,100,SUCCESS,876898527100,876898597800,1,yhjj851
1301,5,85,yhjj877,85,86,100,SUCCESS,876899351300,876899402100,1,yhjj877
1301,5,86,yhjj856,86,87,100,SUCCESS,876899829600,876899899800,1,yhjj856
1301,5,87,yhjj911,87,88,100,SUCCESS,876901230400,876902237600,3,"yhjj831, yhjj911, yhjj908"
1301,5,88,yhjj831,87,90,100,SUCCESS,876902201200,876903055500,2,"yhjj908, yhjj831"
1301,5,89,yhjj908,88,89,100,SUCCESS,876902412400,876902459800,2,"yhjj908, yhjj831"
1301,5,90,yhjj927,90,91,100,SUCCESS,876903391700,876903439800,1,yhjj927
1301,5,91,yhjj919,91,92,100,SUCCESS,876907319700,876907378900,1,yhjj919
1301,5,92,yhjj821,92,93,100,SUCCESS,876907512000,876907722900,1,yhjj821
1301,5,93,yhjj916,93,99,100,SUCCESS,876907912000,876917082200,2,"yhjj932, yhjj916"
1301,5,94,yhjj1014,93,94,100,SUCCESS,876909285700,876909356000,2,"yhjj1014, yhjj916"
1301,5,95,yhjj961,94,95,100,SUCCESS,876910203800,876910267000,2,"yhjj961, yhjj916"
1301,5,96,yhjj942,95,96,100,SUCCESS,876911003300,876911076700,2,"yhjj942, yhjj916"
1301,5,97,yhjj977,96,97,100,SUCCESS,876914383000,876914469600,2,"yhjj977, yhjj916"
1301,5,98,yhjj932,97,98,100,SUCCESS,876915069200,876915160800,2,"yhjj932, yhjj916"
1301,5,99,yhjj898,99,100,100,SUCCESS,876917324600,876917376300,1,yhjj898
1301,5,100,yhjj833,100,100,100,FAIL_OVER_CAPACITY,876918167400,876918257500,1,yhjj833
1301,6,101,yhjj921,100,100,100,FAIL_OVER_CAPACITY,876918454000,876918502500,1,yhjj921
1301,6,102,yhjj968,100,100,100,FAIL_OVER_CAPACITY,876918956700,876919002300,1,yhjj968
1301,6,103,yhjj819,100,100,100,FAIL_OVER_CAPACITY,876919877300,876919930700,1,yhjj819
1301,6,104,yhjj873,100,100,100,FAIL_OVER_CAPACITY,876925975300,876926075400,1,yhjj873
1301,6,105,yhjj986,100,100,100,FAIL_OVER_CAPACITY,876926966100,876927347200,1,yhjj986
1301,6,106,yhjj860,100,100,100,FAIL_OVER_CAPACITY,876927673700,876927873900,1,yhjj860
1301,6,107,yhjj888,100,100,100,FAIL_OVER_CAPACITY,876927875000,876928011000,1,yhjj888
1301,6,108,yhjj1000,100,100,100,FAIL_OVER_CAPACITY,876928802800,876928852100,1,yhjj1000
1301,6,109,yhjj868,100,100,100,FAIL_OVER_CAPACITY,876931515700,876931570700,1,yhjj868
1301,6,110,yhjj829,100,100,100,FAIL_OVER_CAPACITY,876933521200,876933587100,1,yhjj829
1301,6,111,yhjj989,100,100,100,FAIL_OVER_CAPACITY,876935999300,876940729100,1,yhjj989
1301,6,112,yhjj879,100,100,100,FAIL_OVER_CAPACITY,876941072300,876945283100,2,"yhjj1018, yhjj879"
1301,6,113,yhjj1010,100,100,100,FAIL_OVER_CAPACITY,876941329600,876941378600,2,"yhjj1010, yhjj879"
1301,6,114,yhjj963,100,100,100,FAIL_OVER_CAPACITY,876941589400,876941643100,2,"yhjj963, yhjj879"
1301,6,115,yhjj1018,100,100,100,FAIL_OVER_CAPACITY,876943779200,876943847600,2,"yhjj1018, yhjj879"
1301,6,116,yhjj984,100,100,100,FAIL_OVER_CAPACITY,876947044200,876947122800,1,yhjj984
1301,6,117,yhjj920,100,100,100,FAIL_OVER_CAPACITY,876948528100,876948599600,1,yhjj920
1301,6,118,yhjj936,100,100,100,FAIL_OVER_CAPACITY,876948607000,876948754100,1,yhjj936
1301,6,119,yhjj982,100,100,100,FAIL_OVER_CAPACITY,876952461000,876952525100,1,yhjj982
1301,6,120,yhjj1011,100,100,100,FAIL_OVER_CAPACITY,876953391800,876953446800,1,yhjj1011
1301,7,121,yhjj871,100,100,100,FAIL_OVER_CAPACITY,876956009300,876956151300,1,yhjj871
1301,7,122,yhjj993,100,100,100,FAIL_OVER_CAPACITY,876956989300,876957038900,1,yhjj993
1301,7,123,yhjj951,100,100,100,FAIL_OVER_CAPACITY,876965503500,876965568100,1,yhjj951
1301,7,124,yhjj838,100,100,100,FAIL_OVER_CAPACITY,876966554400,876966634700,1,yhjj838
1301,7,125,yhjj950,100,100,100,FAIL_OVER_CAPACITY,876969948900,876970024300,2,"yhjj964, yhjj950"
1301,7,126,yhjj964,100,100,100,FAIL_OVER_CAPACITY,876969965300,876970113300,2,"yhjj964, yhjj950"
1301,7,127,yhjj959,100,100,100,FAIL_OVER_CAPACITY,876974634300,876974693500,1,yhjj959
1301,7,128,yhjj983,100,100,100,FAIL_OVER_CAPACITY,876977412400,876981013900,5,"yhjj1016, yhjj983, yhjj887, yhjj1013, yhjj850"
1301,7,129,yhjj867,100,100,100,FAIL_OVER_CAPACITY,876977521300,876977580400,2,"yhjj867, yhjj983"
1301,7,130,yhjj890,100,100,100,FAIL_OVER_CAPACITY,876978870300,876979033100,2,"yhjj890, yhjj983"
1301,7,131,yhjj1016,100,100,100,FAIL_OVER_CAPACITY,876980979400,876986187800,2,"yhjj850, yhjj1016"
1301,7,132,yhjj887,100,100,100,FAIL_OVER_CAPACITY,876981436400,876982561600,2,"yhjj887, yhjj1016"
1301,7,133,yhjj1013,100,100,100,FAIL_OVER_CAPACITY,876982962800,876983008400,2,"yhjj1013, yhjj1016"
1301,7,134,yhjj850,100,100,100,FAIL_OVER_CAPACITY,876984563700,876984626800,2,"yhjj850, yhjj1016"
1301,7,135,yhjj972,100,100,100,FAIL_OVER_CAPACITY,876987205200,876994217600,11,"yhjj883, yhjj972, yhjj974, yhjj965, yhjj926, yhjj967, yhjj1005, yhjj940, yhjj865, yhjj941, yhjj906"
1301,7,136,yhjj930,100,100,100,FAIL_OVER_CAPACITY,876987390200,876987441400,2,"yhjj930, yhjj972"
1301,7,137,yhjj834,100,100,100,FAIL_OVER_CAPACITY,876988079500,876988132000,2,"yhjj834, yhjj972"
1301,7,138,yhjj934,100,100,100,FAIL_OVER_CAPACITY,876991528400,876991853200,10,"yhjj974, yhjj972, yhjj934, yhjj958, yhjj1001, yhjj965, yhjj1017, yhjj883, yhjj926, yhjj967"
1301,7,139,yhjj881,100,100,100,FAIL_OVER_CAPACITY,876991545400,876991613000,3,"yhjj881, yhjj972, yhjj934"
1301,7,140,yhjj974,100,100,100,FAIL_OVER_CAPACITY,876991775500,876996400600,4,"yhjj967, yhjj974, yhjj965, yhjj883"
1301,8,141,yhjj958,100,100,100,FAIL_OVER_CAPACITY,876992458700,876992503700,3,"yhjj958, yhjj972, yhjj974"
1301,8,142,yhjj1001,100,100,100,FAIL_OVER_CAPACITY,876992854900,876992905700,3,"yhjj1001, yhjj972, yhjj974"
1301,8,143,yhjj965,100,100,100,FAIL_OVER_CAPACITY,876993263800,876998986000,11,"yhjj940, yhjj965, yhjj883, yhjj865, yhjj941, yhjj906, yhjj1009, yhjj939, yhjj914, yhjj980, yhjj820"
1301,8,144,yhjj1017,100,100,100,FAIL_OVER_CAPACITY,876993946800,876993989900,4,"yhjj1017, yhjj972, yhjj974, yhjj965"
1301,8,145,yhjj883,100,100,100,FAIL_OVER_CAPACITY,876994207400,877000475900,4,"yhjj906, yhjj883, yhjj940, yhjj865"
1301,8,146,yhjj926,100,100,100,FAIL_OVER_CAPACITY,876995166000,876995206900,4,"yhjj926, yhjj974, yhjj965, yhjj883"
1301,8,147,yhjj967,100,100,100,FAIL_OVER_CAPACITY,876995918400,876996348400,4,"yhjj967, yhjj974, yhjj965, yhjj883"
1301,8,148,yhjj1005,100,100,100,FAIL_OVER_CAPACITY,876997208900,876997257800,3,"yhjj1005, yhjj965, yhjj883"
1301,8,149,yhjj940,100,100,100,FAIL_OVER_CAPACITY,876998963900,877003248900,5,"yhjj820, yhjj940, yhjj865, yhjj939, yhjj980"
1301,8,150,yhjj865,100,100,100,FAIL_OVER_CAPACITY,876999011700,877003761300,5,"yhjj820, yhjj940, yhjj865, yhjj939, yhjj980"
1301,8,151,yhjj941,100,100,100,FAIL_OVER_CAPACITY,876999318100,876999404100,4,"yhjj941, yhjj883, yhjj940, yhjj865"
1301,8,152,yhjj906,100,100,100,FAIL_OVER_CAPACITY,876999966800,877000346300,4,"yhjj906, yhjj883, yhjj940, yhjj865"
1301,8,153,yhjj1009,100,100,100,FAIL_OVER_CAPACITY,877000546100,877000867200,3,"yhjj1009, yhjj940, yhjj865"
1301,8,154,yhjj939,100,100,100,FAIL_OVER_CAPACITY,877001366000,877024973100,5,"yhjj956, yhjj939, yhjj985, yhjj848, yhjj970"
1301,8,155,yhjj914,100,100,100,FAIL_OVER_CAPACITY,877001713300,877001764600,4,"yhjj914, yhjj940, yhjj865, yhjj939"
1301,8,156,yhjj980,100,100,100,FAIL_OVER_CAPACITY,877001767500,877013343900,3,"yhjj998, yhjj939, yhjj980"
1301,8,157,yhjj820,100,100,100,FAIL_OVER_CAPACITY,877001902000,877002659400,5,"yhjj820, yhjj940, yhjj865, yhjj939, yhjj980"
1301,8,158,yhjj935,100,100,100,FAIL_OVER_CAPACITY,877008225200,877008294000,3,"yhjj935, yhjj939, yhjj980"
1301,8,159,yhjj895,100,100,100,FAIL_OVER_CAPACITY,877008304600,877008364200,3,"yhjj895, yhjj939, yhjj980"
1301,8,160,yhjj880,100,100,100,FAIL_OVER_CAPACITY,877009127800,877009176200,3,"yhjj880, yhjj939, yhjj980"
1301,9,161,yhjj973,100,100,100,FAIL_OVER_CAPACITY,877009362900,877009404700,3,"yhjj973, yhjj939, yhjj980"
1301,9,162,yhjj998,100,100,100,FAIL_OVER_CAPACITY,877011508000,877011585200,3,"yhjj998, yhjj939, yhjj980"
1301,9,163,yhjj854,100,100,100,FAIL_OVER_CAPACITY,877014820200,877014877100,2,"yhjj854, yhjj939"
1301,9,164,yhjj824,100,100,100,FAIL_OVER_CAPACITY,877016011000,877016064000,2,"yhjj824, yhjj939"
1301,9,165,yhjj985,100,100,100,FAIL_OVER_CAPACITY,877016553200,877027508200,5,"yhjj900, yhjj985, yhjj848, yhjj970, yhjj947"
1301,9,166,yhjj999,100,100,100,FAIL_OVER_CAPACITY,877016649500,877017019000,29,"yhjj848, yhjj939, yhjj985, yhjj999, yhjj925, yhjj1012, yhjj1004, yhjj901, yhjj869, yhjj949, yhjj970, yhjj971, yhjj957, yhjj1007, yhjj956, yhjj990, yhjj945, yhjj905, yhjj947, yhjj900, yhjj835, yhjj960, yhjj931, yhjj966, yhjj866, yhjj997, yhjj944, yhjj948, yhjj943"
1301,9,167,yhjj848,100,100,100,FAIL_OVER_CAPACITY,877016754300,877031079200,10,"yhjj943, yhjj848, yhjj970, yhjj947, yhjj966, yhjj944, yhjj948, yhjj878, yhjj938, yhjj975"
1301,9,168,yhjj925,100,100,100,FAIL_OVER_CAPACITY,877017227100,877017264300,4,"yhjj925, yhjj939, yhjj985, yhjj848"
1301,9,169,yhjj1012,100,100,100,FAIL_OVER_CAPACITY,877018142600,877018185700,4,"yhjj1012, yhjj939, yhjj985, yhjj848"
1301,9,170,yhjj1004,100,100,100,FAIL_OVER_CAPACITY,877018403800,877018521600,4,"yhjj1004, yhjj939, yhjj985, yhjj848"
1301,9,171,yhjj901,100,100,100,FAIL_OVER_CAPACITY,877018563300,877018626000,4,"yhjj901, yhjj939, yhjj985, yhjj848"
1301,9,172,yhjj869,100,100,100,FAIL_OVER_CAPACITY,877018653700,877018737500,4,"yhjj869, yhjj939, yhjj985, yhjj848"
1301,9,173,yhjj949,100,100,100,FAIL_OVER_CAPACITY,877018908800,877018948700,4,"yhjj949, yhjj939, yhjj985, yhjj848"
1301,9,174,yhjj970,100,100,100,FAIL_OVER_CAPACITY,877020218200,877031882800,13,"yhjj975, yhjj970, yhjj947, yhjj966, yhjj944, yhjj948, yhjj943, yhjj938, yhjj988, yhjj987, yhjj875, yhjj933, yhjj918"
1301,9,175,yhjj971,100,100,100,FAIL_OVER_CAPACITY,877020885700,877020952700,5,"yhjj971, yhjj939, yhjj985, yhjj848, yhjj970"
1301,9,176,yhjj957,100,100,100,FAIL_OVER_CAPACITY,877021612700,877021662700,5,"yhjj957, yhjj939, yhjj985, yhjj848, yhjj970"
1301,9,177,yhjj1007,100,100,100,FAIL_OVER_CAPACITY,877022175900,877022663300,5,"yhjj1007, yhjj939, yhjj985, yhjj848, yhjj970"
1301,9,178,yhjj956,100,100,100,FAIL_OVER_CAPACITY,877024689100,877024786500,5,"yhjj956, yhjj939, yhjj985, yhjj848, yhjj970"
1301,9,179,yhjj990,100,100,100,FAIL_OVER_CAPACITY,877025372000,877025412800,4,"yhjj990, yhjj985, yhjj848, yhjj970"
1301,9,180,yhjj945,100,100,100,FAIL_OVER_CAPACITY,877025697400,877025744500,4,"yhjj945, yhjj985, yhjj848, yhjj970"
1301,10,181,yhjj905,100,100,100,FAIL_OVER_CAPACITY,877025902500,877025957200,4,"yhjj905, yhjj985, yhjj848, yhjj970"
1301,10,182,yhjj947,100,100,100,FAIL_OVER_CAPACITY,877026231700,877034149400,5,"yhjj875, yhjj947, yhjj944, yhjj948, yhjj975"
1301,10,183,yhjj900,100,100,100,FAIL_OVER_CAPACITY,877027000500,877027055900,5,"yhjj900, yhjj985, yhjj848, yhjj970, yhjj947"
1301,10,184,yhjj835,100,100,100,FAIL_OVER_CAPACITY,877027578700,877027618300,4,"yhjj835, yhjj848, yhjj970, yhjj947"
1301,10,185,yhjj960,100,100,100,FAIL_OVER_CAPACITY,877028827000,877028964600,5,"yhjj931, yhjj848, yhjj970, yhjj947, yhjj960"
1301,10,186,yhjj931,100,100,100,FAIL_OVER_CAPACITY,877028877200,877028925400,5,"yhjj931, yhjj848, yhjj970, yhjj947, yhjj960"
1301,10,187,yhjj966,100,100,100,FAIL_OVER_CAPACITY,877028998400,877031505700,13,"yhjj975, yhjj970, yhjj947, yhjj966, yhjj944, yhjj948, yhjj943, yhjj938, yhjj988, yhjj987, yhjj875, yhjj933, yhjj918"
1301,10,188,yhjj866,100,100,100,FAIL_OVER_CAPACITY,877029301700,877029548000,5,"yhjj866, yhjj848, yhjj970, yhjj947, yhjj966"
1301,10,189,yhjj997,100,100,100,FAIL_OVER_CAPACITY,877030121700,877030222400,5,"yhjj997, yhjj848, yhjj970, yhjj947, yhjj966"
1301,10,190,yhjj944,100,100,100,FAIL_OVER_CAPACITY,877030982200,877034081600,5,"yhjj875, yhjj947, yhjj944, yhjj948, yhjj975"
1301,10,191,yhjj948,100,100,100,FAIL_OVER_CAPACITY,877031015500,877034206000,5,"yhjj875, yhjj947, yhjj944, yhjj948, yhjj975"
1301,10,192,yhjj943,100,100,100,FAIL_OVER_CAPACITY,877031067400,877031928600,13,"yhjj975, yhjj970, yhjj947, yhjj966, yhjj944, yhjj948, yhjj943, yhjj938, yhjj988, yhjj987, yhjj875, yhjj933, yhjj918"
1301,10,193,yhjj878,100,100,100,FAIL_OVER_CAPACITY,877031213200,877031260000,7,"yhjj878, yhjj970, yhjj947, yhjj966, yhjj944, yhjj948, yhjj943"
1301,10,194,yhjj938,100,100,100,FAIL_OVER_CAPACITY,877031329500,877033411100,6,"yhjj988, yhjj947, yhjj944, yhjj948, yhjj938, yhjj975"
1301,10,195,yhjj975,100,100,100,FAIL_OVER_CAPACITY,877031438400,877035068500,2,"yhjj918, yhjj975"
1301,10,196,yhjj988,100,100,100,FAIL_OVER_CAPACITY,877032898900,877032960400,6,"yhjj988, yhjj947, yhjj944, yhjj948, yhjj938, yhjj975"
1301,10,197,yhjj987,100,100,100,FAIL_OVER_CAPACITY,877033615500,877033857900,5,"yhjj987, yhjj947, yhjj944, yhjj948, yhjj975"
1301,10,198,yhjj875,100,100,100,FAIL_OVER_CAPACITY,877033977300,877034334100,5,"yhjj875, yhjj947, yhjj944, yhjj948, yhjj975"
1301,10,199,yhjj933,100,100,100,FAIL_OVER_CAPACITY,877034604500,877034653300,2,"yhjj933, yhjj975"
1301,10,200,yhjj918,100,100,100,FAIL_OVER_CAPACITY,877035025800,877035587500,2,"yhjj918, yhjj975"
